[+] Ajout | Voiture id:1500
[+] Ajout | Voiture id:1501
[!] Accident | (2,5)
[-] Suppression | Voiture id:1496 supprimé de la carte.
[-] Suppression | Voiture id:1497 supprimé de la carte.
[-] Suppression | Voiture id:1501 supprimé de la carte.
[-] Suppression | Voiture id:1500 supprimé de la carte.
[+] Ajout | Voiture id:1502
[+] Ajout | Voiture id:1503
[-] Suppression | Voiture id:1498 supprimé de la carte.
[-] Suppression | Voiture id:1499 supprimé de la carte.
[+] Ajout | Voiture id:1504
[+] Ajout | Voiture id:1505
[!] Accident | (2,4)
[+] Ajout | Voiture id:1506
[+] Ajout | Voiture id:1507
[-] Suppression | Voiture id:1505 supprimé de la carte.
[-] Suppression | Voiture id:1504 supprimé de la carte.
[-] Suppression | Voiture id:1502 supprimé de la carte.
[-] Suppression | Voiture id:1503 supprimé de la carte.
[+] Ajout | Voiture id:1508
[+] Ajout | Voiture id:1509
[+] Ajout | Voiture id:1510
[+] Ajout | Voiture id:1511
[-] Suppression | Voiture id:1506 supprimé de la carte.
[-] Suppression | Voiture id:1507 supprimé de la carte.
[+] Ajout | Voiture id:1512
[+] Ajout | Voiture id:1513
[-] Suppression | Voiture id:1508 supprimé de la carte.
[-] Suppression | Voiture id:1509 supprimé de la carte.
[+] Ajout | Voiture id:1514
[+] Ajout | Voiture id:1515
[!] Accident | (0,2)
[-] Suppression | Voiture id:1510 supprimé de la carte.
[-] Suppression | Voiture id:1511 supprimé de la carte.
[-] Suppression | Voiture id:1515 supprimé de la carte.
[-] Suppression | Voiture id:1514 supprimé de la carte.
[+] Ajout | Voiture id:1516
[+] Ajout | Voiture id:1517
[-] Suppression | Voiture id:1512 supprimé de la carte.
[-] Suppression | Voiture id:1513 supprimé de la carte.
[+] Ajout | Voiture id:1518
[+] Ajout | Voiture id:1519
[!] Accident | (4,5)
[-] Suppression | Voiture id:1519 supprimé de la carte.
[-] Suppression | Voiture id:1518 supprimé de la carte.
[+] Ajout | Voiture id:1520
[+] Ajout | Voiture id:1521
[!] Accident | (1,4)
[-] Suppression | Voiture id:1516 supprimé de la carte.
[-] Suppression | Voiture id:1517 supprimé de la carte.
[+] Ajout | Voiture id:1522
[+] Ajout | Voiture id:1523
[-] Suppression | Voiture id:1520 supprimé de la carte.
[-] Suppression | Voiture id:1521 supprimé de la carte.
[+] Ajout | Voiture id:1524
[+] Ajout | Voiture id:1525
[!] Accident | (1,4)
[+] Ajout | Voiture id:1526
[+] Ajout | Voiture id:1527
[-] Suppression | Voiture id:1524 supprimé de la carte.
[-] Suppression | Voiture id:1525 supprimé de la carte.
[-] Suppression | Voiture id:1522 supprimé de la carte.
[-] Suppression | Voiture id:1523 supprimé de la carte.
[+] Ajout | Voiture id:1528
[+] Ajout | Voiture id:1529
[+] Ajout | Voiture id:1530
[+] Ajout | Voiture id:1531
[!] Accident | (0,1)
[-] Suppression | Voiture id:1526 supprimé de la carte.
[-] Suppression | Voiture id:1527 supprimé de la carte.
[-] Suppression | Voiture id:1531 supprimé de la carte.
[-] Suppression | Voiture id:1530 supprimé de la carte.
[+] Ajout | Voiture id:1532
[+] Ajout | Voiture id:1533
[!] Accident | (1,5)
[-] Suppression | Voiture id:1528 supprimé de la carte.
[-] Suppression | Voiture id:1529 supprimé de la carte.
[-] Suppression | Voiture id:1533 supprimé de la carte.
[-] Suppression | Voiture id:1532 supprimé de la carte.
[+] Ajout | Voiture id:1534
